bytes,psnr,ssim
37168.0,32.8354297015,0.890245944089
6156.0,32.625865397,0.888116313279
1113.0,32.5167524179,0.887284332319
1300.0,32.6022253985,0.888435162353
6842.0,32.4117505873,0.886798026025
1360.0,32.3934439526,0.886769700583
1194.0,32.5202187914,0.887751044096
7807.0,32.3328067033,0.886505267123
1204.0,32.347129646,0.886798625895
1230.0,32.4200656378,0.887394482925
7085.0,32.348596691,0.886913897338
959.0,32.3504272776,0.887005080787
981.0,32.3785245484,0.887298158568
8054.0,32.2314410602,0.886370317645
1778.0,32.1858879985,0.886339262582
1686.0,32.3329071566,0.887467033648
8053.0,32.1753800804,0.887727763352
1585.0,32.1794521685,0.88724842443
1357.0,32.254121233,0.887628135657
8573.0,32.1106591883,0.886109762606
1568.0,32.1302048689,0.886228750002
1497.0,32.2289896485,0.886823002962
8483.0,32.0856662341,0.885364678649
1452.0,32.0803400913,0.885123906726
1272.0,32.1644426171,0.886382482003
7987.0,31.9645886424,0.885417472855
2160.0,32.0778355202,0.886676380905
2039.0,32.2100836945,0.887224574431
7604.0,31.9711303143,0.885198261885
1980.0,32.0299521102,0.885407325031
1432.0,32.050496638,0.885769470505
7940.0,31.9652779131,0.88464829553
1221.0,31.9212131108,0.885214080362
1271.0,31.9300255986,0.885070397407
7875.0,31.8777864838,0.88381818367
1255.0,31.9536770822,0.884450435708
1043.0,31.8930036645,0.884017093511
8656.0,31.7865966031,0.882296109454
1536.0,31.7886991056,0.881989864072
1381.0,31.8224641051,0.882560011487
9572.0,31.6663873188,0.88061863674
2204.0,31.6189138359,0.879871616509
2438.0,31.7673878511,0.881620213362
9059.0,31.6447272371,0.880120962322
2017.0,31.6388384936,0.879785947258
1839.0,31.6834101833,0.880669842068
9490.0,31.568754919,0.879016468162
1669.0,31.5673365126,0.878409334455
1760.0,31.6826200002,0.881275157087
9394.0,31.5734431464,0.8788543464
1728.0,31.6463943428,0.879077689248
1568.0,31.6848380304,0.879560497247
8618.0,31.5985318185,0.878255099834
1504.0,31.62048008,0.878377918839
1396.0,31.637966276,0.878808928033
8984.0,31.5529859279,0.877089330092
1380.0,31.5590950041,0.877299850907
1500.0,31.6469377311,0.878491714817
8973.0,31.5252038132,0.876807816226
1594.0,31.561827636,0.877360424862
1412.0,31.6241532926,0.87844745976
8955.0,31.6049541713,0.877753834942
1178.0,31.5560813073,0.877368369111
1211.0,31.571860809,0.878176731641
9720.0,31.4949861675,0.877737044558
2102.0,31.4611665234,0.877577208549
2202.0,31.4994334337,0.878545166894
9060.0,31.3948428451,0.877139562507
1413.0,31.4067746568,0.877230982398
1457.0,31.4145432458,0.877748932525
9095.0,31.3300166306,0.87642420593
1837.0,31.2860094543,0.875964388671
1895.0,31.2931638224,0.877006661865
9049.0,31.2788392485,0.876332243667
1554.0,31.2462137396,0.876117279403
1551.0,31.2999814165,0.87651319603
9124.0,31.2049474409,0.875469276914
1663.0,31.1018080429,0.873811481485
1771.0,31.1338774165,0.874383431977
9302.0,31.1095488845,0.873501614882
1513.0,31.0557986932,0.873649782406
1794.0,31.0424907284,0.873488361887
9101.0,31.0060731802,0.871577349919
1950.0,30.9841651053,0.87098349114
1749.0,30.9862841124,0.87111204944
8646.0,30.9478002111,0.870070030086
1259.0,30.8930733299,0.868983630493
1397.0,30.8968233785,0.869015671621
9259.0,30.8215031502,0.867390762394
1887.0,30.8468637531,0.867065025512
1648.0,30.7923823247,0.867005621673
9473.0,30.7403074912,0.865475842942
1466.0,30.654697219,0.863414980602
1455.0,30.6653331575,0.864028716425
9906.0,30.6296292669,0.862612643114
1862.0,30.6415939066,0.862034358016
1861.0,30.7173238632,0.864092257241
9291.0,30.6278824114,0.86181143788
1690.0,30.5637520282,0.860939722799
1780.0,30.5515729706,0.861352417837
9670.0,30.5283597229,0.85939238786
1673.0,30.4942396788,0.858698862923
1775.0,30.5066165211,0.859359946343
10010.0,30.4669171518,0.858141527901
1800.0,30.4129159561,0.857564069844
1922.0,30.4657839518,0.857980691829
9117.0,30.372984388,0.856922505221
1878.0,30.3893071352,0.855693345786
1504.0,30.4089321283,0.856966866444
9179.0,30.3846008204,0.856786879955
1569.0,30.3533774233,0.856569181539
1703.0,30.3826309137,0.857693953627
8707.0,30.3184325357,0.857680590604
1728.0,30.2372485914,0.856567757766
1946.0,30.2840358458,0.857400084967
8787.0,30.2316171917,0.856208044204
2161.0,30.2251094488,0.85678458565
1830.0,30.28428998,0.857844823377
8472.0,30.2037813355,0.856671289331
1883.0,30.1638549732,0.8565621215
1854.0,30.2021729618,0.85784518189
9088.0,30.1805618427,0.856205082677
2198.0,30.2016129642,0.854513797535
2082.0,30.1975330947,0.85600211949
8871.0,30.1727100816,0.855760982747
2163.0,30.1546503509,0.855719226417
2016.0,30.1694663066,0.856715521358
8697.0,30.0764002488,0.855691016816
2295.0,30.1359637773,0.857075862106
2090.0,30.1566406381,0.857733234224
8827.0,30.0944871862,0.856319456145
2142.0,30.0948546401,0.856427455886
1863.0,30.122586607,0.856991894525
9318.0,30.0732539351,0.85580092694
2340.0,30.063909743,0.856016135004
2278.0,30.0652748352,0.85661318558
9221.0,30.0429941624,0.855839762292
2399.0,29.9787169826,0.853812473241
2329.0,30.0104811493,0.855994892222
8383.0,29.9484541961,0.85483153496
2690.0,29.9450498831,0.855296194687
2430.0,29.9994676817,0.856544928669
9136.0,29.9152520598,0.855318460614
2661.0,29.9478134045,0.856055449369
2533.0,29.9183558332,0.856787541013
8709.0,29.8953249064,0.85563637155
2182.0,29.8852769255,0.855231709129
2169.0,29.858074088,0.855284508714
8194.0,29.8067058596,0.853897657501
1944.0,29.8136710307,0.853823015901
2168.0,29.8388840492,0.855435136164
8687.0,29.7786410961,0.853871544582
2121.0,29.7299245048,0.850792972747
2012.0,29.7289391829,0.852632995674
8850.0,29.7444735672,0.851866933106
2194.0,29.7295302486,0.851632612158
2229.0,29.7075656593,0.85210949208
9056.0,29.7165466396,0.851213943081
2262.0,29.7286655522,0.85135055202
2173.0,29.7367568415,0.852356742153
8501.0,29.7017099733,0.851955172059
2005.0,29.7222603127,0.851954306911
2064.0,29.7389625434,0.852603751054
8316.0,29.7935905263,0.85234808709
1917.0,29.7730839297,0.851822548204
2103.0,29.7578141708,0.852368598528
8916.0,29.7299908771,0.851119995828
1798.0,29.7058638566,0.848795452698
1926.0,29.6813370099,0.850027167199
8627.0,29.6882468458,0.849262424364
1747.0,29.7030943969,0.849371059267
1743.0,29.6616608516,0.849668855455
8866.0,29.6391199338,0.84836845636
1759.0,29.6190736947,0.847976304464
1966.0,29.6100730279,0.848575698803
9127.0,29.588193969,0.847278888073
1920.0,29.5937552769,0.847958941625
1918.0,29.608221977,0.848706123993
8777.0,29.5606147991,0.847098136499
2051.0,29.5769905015,0.846871027029
1871.0,29.5231586025,0.847398195206
9228.0,29.4911272908,0.845844571195
1821.0,29.452881945,0.843982180449
1783.0,29.4871134058,0.845546350478
8901.0,29.467632665,0.844112810457
1936.0,29.469635209,0.844243075793
1955.0,29.5081901387,0.845234851174
8759.0,29.4564694345,0.843668757928
1917.0,29.4857432477,0.844071174517
1951.0,29.4577027861,0.844633160132
8613.0,29.4516593807,0.843426418911
1926.0,29.4714205066,0.843387152265
1801.0,29.4495746716,0.84474312288
9107.0,29.4012871032,0.842718617513
2158.0,29.4327317486,0.842464864273
