bytes,psnr,ssim
96350.0,34.4318126235,0.90164850116
32476.0,33.4080583643,0.889732308418
9755.0,33.5316880818,0.890692547227
7327.0,33.8866290223,0.893615401191
31416.0,33.4987677925,0.889933448722
6978.0,33.5011483571,0.888737838426
6958.0,33.7412190815,0.886297803205
28772.0,33.5041679384,0.887191039608
6267.0,33.612378077,0.888805852852
6387.0,33.9763864286,0.892500042113
28563.0,33.7156003758,0.890027637173
6294.0,33.7782100758,0.890184324261
5678.0,34.1209361644,0.893894137699
28953.0,33.7931712011,0.890069599165
5748.0,33.8742693593,0.890998309992
5056.0,34.1733166848,0.893562166138
27675.0,33.8444107386,0.891205725492
5841.0,33.8945278697,0.891807229736
4908.0,34.1782864212,0.894609533795
29747.0,33.8318131977,0.89184232016
6521.0,33.9649478443,0.89412026026
5459.0,34.1933439826,0.892876289304
27445.0,34.0007316496,0.893988164472
6308.0,34.1555721,0.89697044534
5231.0,34.5579255799,0.900090075322
28245.0,34.2594945489,0.897538902279
5577.0,34.3900122569,0.899007401327
5308.0,34.7086578143,0.901410714216
28487.0,34.400680064,0.89893575016
5881.0,34.5336156256,0.900484065125
5331.0,34.7867331008,0.902091653872
44629.0,34.677778199,0.901384234007
6423.0,34.8440464189,0.902549423328
6439.0,35.2218672731,0.905352600934
40045.0,34.7950748741,0.900887078479
7765.0,34.7482187318,0.899482767288
7376.0,34.8859491079,0.895467406955
38025.0,34.5031819858,0.894562354607
7601.0,34.5531699956,0.895669556601
7303.0,34.9286909189,0.89949968275
39274.0,34.4052443506,0.895508163872
8128.0,34.4277095948,0.895447767565
7713.0,34.8141861766,0.899785152974
40111.0,34.3276430623,0.895693626334
8573.0,34.342711754,0.896473288879
7829.0,34.8735586911,0.901470657494
40848.0,34.3630301348,0.896873666107
9176.0,34.4246783212,0.897967970009
8600.0,34.8870964393,0.90281795924
42615.0,34.3726224545,0.897658749812
9343.0,34.4513378832,0.89888135184
8813.0,34.718372283,0.897115921072
40895.0,34.3606013942,0.896748820411
9310.0,34.330718007,0.896778389216
8996.0,34.845423442,0.902518331107
41334.0,34.4289502748,0.898632099202
9162.0,34.343751872,0.897452700685
8773.0,34.7038814958,0.901261490677
41217.0,34.2392874289,0.896991586954
9510.0,34.1529595397,0.896175008026
8444.0,34.5524515949,0.900228727926
42306.0,34.0165373437,0.894710594897
10229.0,33.9456674109,0.894307324696
9644.0,34.328957727,0.89789543679
46148.0,33.8737724322,0.893849272269
10930.0,33.8554060619,0.892481557395
10251.0,34.1871841192,0.890326080939
43768.0,33.83573234,0.890369396535
11051.0,33.8812444713,0.892116920028
10846.0,34.375706223,0.897184696818
44008.0,33.9648649283,0.893205195878
11857.0,34.016934001,0.893477711967
10846.0,34.4521719877,0.897626448749
45211.0,34.0344043269,0.893510458208
12019.0,34.0460291986,0.89274333682
11493.0,34.4188706448,0.896404935251
44920.0,34.002811787,0.892047654051
11595.0,33.9480068619,0.891028478178
10945.0,34.3471038988,0.89485650448
45921.0,33.9522054439,0.890403336322
11754.0,33.9899180483,0.891075241426
11323.0,34.1639411329,0.887323882226
44594.0,33.8783440661,0.888789519194
11750.0,33.9432306997,0.890637317179
11524.0,34.2940770974,0.894345555509
45614.0,33.8052481115,0.890002617744
12666.0,33.8804503354,0.891526433574
12676.0,34.2514242323,0.895748912932
44801.0,33.8399685534,0.892210415227
13418.0,33.8548739534,0.892508809538
13165.0,34.2611228087,0.89803387133
46118.0,33.4991146415,0.888793347019
17302.0,33.9267548864,0.895774729799
13976.0,34.3474582189,0.900215569241
46275.0,33.9018383852,0.89691035508
13491.0,33.8947722283,0.897053547299
13370.0,34.1755357024,0.894915389835
44260.0,33.9354396427,0.897183140658
12435.0,34.0214842744,0.898944491821
12053.0,34.480643754,0.903733815562
43682.0,34.097441745,0.900568266502
12113.0,34.2073341381,0.902005554423
11790.0,34.6277481908,0.905671877567
44028.0,34.2690492832,0.902472449202
11889.0,34.3801624549,0.903962021679
10622.0,34.747734544,0.907264862991
42971.0,34.3808585443,0.904816414479
11432.0,34.4924653263,0.906537014994
10734.0,34.9070007906,0.910873194102
43126.0,34.4405113316,0.907249385724
10539.0,34.4783539326,0.907422853804
10543.0,34.646817685,0.905337139097
40372.0,34.2463816109,0.904184909683
10411.0,34.2242615276,0.90357358545
10252.0,34.5442774429,0.905975893983
40446.0,34.0631481924,0.901936978719
10078.0,34.0550205622,0.901470625737
10442.0,34.3914206662,0.90428628536
40531.0,33.8315710104,0.897843175058
11735.0,33.7274029185,0.895443816928
11509.0,34.140576334,0.8993911844
41755.0,33.6347767783,0.893248442625
12364.0,33.5848555943,0.892363129383
12689.0,33.8951506681,0.895368944183
40790.0,33.3001565478,0.887995530079
14377.0,33.6721944466,0.892521958265
42171.0,33.4519596528,0.886934790417
13132.0,34.1588104107,0.898323386466
44961.0,33.7209661499,0.893739708302
14017.0,33.9483811134,0.897275587415
