bytes,psnr,ssim
295434.0,38.8205701971,0.951195608198
1576.0,38.8203738796,0.951197027373
91.0,38.8220088798,0.951208437352
68.0,38.8220222746,0.951208367486
399.0,38.8219623077,0.951208350174
69.0,38.8222401816,0.951210275988
68.0,38.8221964098,0.951210223367
215.0,38.8222424073,0.951210273061
68.0,38.822229795,0.951210270488
68.0,38.8222654475,0.951210219467
197.0,38.8222254261,0.951210185367
68.0,38.8222912494,0.951210675533
68.0,38.8222512277,0.951210641432
149.0,38.8222912494,0.951210675533
68.0,38.8222527527,0.951210669334
68.0,38.8222927744,0.951210703434
450.0,38.8388854904,0.951336294762
68.0,38.8375725722,0.951336268067
68.0,38.8372325449,0.951334758621
231.0,38.837365889,0.951334669114
68.0,38.8372244385,0.951334858087
68.0,38.8373389634,0.951334671065
153.0,38.8371714164,0.951334824021
68.0,38.8373720931,0.951334806619
68.0,38.8372052479,0.951334895419
309.0,38.8373964545,0.951335192873
68.0,38.8372747728,0.951335954449
68.0,38.8374504306,0.951336077262
204.0,38.8372854436,0.951336196405
68.0,38.8374862083,0.951336231003
68.0,38.8373260177,0.951336363104
553.0,38.8374941911,0.951336310386
68.0,38.8340495493,0.951281811841
67.0,38.832531143,0.951277816022
301.0,38.8324401282,0.951276568034
68.0,38.832398443,0.951276245918
68.0,38.8324454577,0.951276415259
201.0,38.8323262282,0.951276322291
67.0,38.8323988562,0.951276527717
67.0,38.8323741509,0.951276373006
157.0,38.8323988562,0.951276527717
67.0,38.8323197834,0.951276373006
67.0,38.8323444883,0.951276527717
161.0,38.8323197834,0.951276373006
67.0,38.8323185854,0.951276527717
67.0,38.832294459,0.951276373006
248.0,38.8323218904,0.951276568229
67.0,38.8323434555,0.951276447037
67.0,38.8341858542,0.951279250725
213.0,38.8328505568,0.95127604
67.0,38.8325460576,0.951275188615
67.0,38.8327168142,0.95127459764
169.0,38.8324188105,0.951274771739
67.0,38.8326687223,0.951274854359
67.0,38.8324045987,0.95127489963
155.0,38.8326530224,0.951274874695
67.0,38.8324035659,0.951274905006
67.0,38.8326477753,0.951274872874
143.0,38.8324032767,0.951274901398
67.0,38.8326187306,0.951274869266
67.0,38.8323706393,0.951274901398
146.0,38.8326187306,0.951274869266
67.0,38.8324205456,0.9512749895
67.0,38.8326651692,0.951274957368
188.0,38.8346025652,0.951293850709
67.0,38.8335186294,0.951291839151
67.0,38.833384081,0.951291120741
174.0,38.833281437,0.951291084152
67.0,38.8332879245,0.951291210154
67.0,38.8331951584,0.951291505757
143.0,38.8332741231,0.951291402073
67.0,38.8332023069,0.951291509672
67.0,38.8332680488,0.951291403301
136.0,38.8332023069,0.951291509672
67.0,38.833262677,0.951291403301
67.0,38.8331958608,0.951291509672
130.0,38.833262677,0.951291403301
67.0,38.8332168105,0.951291509672
67.0,38.8332834618,0.951291403301
208.0,38.8332358595,0.951291604627
67.0,38.8307407784,0.951260547784
67.0,38.8293375948,0.951257826109
209.0,38.8294135994,0.951257162523
67.0,38.8293312783,0.951257592126
67.0,38.8294100489,0.951257715504
174.0,38.8293517139,0.951257935364
67.0,38.8295282488,0.951257729001
67.0,38.829446421,0.951257938138
143.0,38.8295344417,0.951257741565
67.0,38.8294296179,0.951257626406
67.0,38.8295065325,0.951257189822
134.0,38.829420783,0.9512573932
67.0,38.8295130969,0.951257189822
67.0,38.8294315583,0.9512573932
175.0,38.8295154089,0.951257209801
67.0,38.829536217,0.951257492077
67.0,38.8336740512,0.951280185143
244.0,38.8322891297,0.951277668742
209.0,38.8320216005,0.951277398392
67.0,38.832251825,0.951277224831
67.0,38.8321107888,0.951277333557
152.0,38.8322628139,0.95127730825
67.0,38.8320469233,0.951277295429
67.0,38.8321995659,0.951277282541
134.0,38.8320482865,0.951277301318
67.0,38.8322285252,0.951277282541
67.0,38.8320790625,0.951277301318
132.0,38.8322285252,0.951277282541
67.0,38.8320482865,0.951277301318
67.0,38.8321995659,0.951277282541
168.0,38.8320465928,0.951277288983
67.0,38.8322766121,0.951277209064
67.0,38.8338798562,0.951287537274
151.0,38.8324733032,0.951284176497
67.0,38.8324818552,0.951283861571
67.0,38.8323575432,0.9512840818
140.0,38.8324283952,0.951284009002
67.0,38.8323372586,0.951284138554
67.0,38.832424677,0.951283975518
136.0,38.83233982,0.95128415336
67.0,38.832429552,0.951283960836
67.0,38.8323451907,0.95128415336
132.0,38.832429552,0.951283960836
67.0,38.8323395308,0.95128415336
67.0,38.8324237268,0.951283960836
136.0,38.8323395308,0.95128415336
67.0,38.8324443009,0.951283960836
67.0,38.8323599393,0.95128415336
149.0,38.8344433076,0.951292098647
67.0,38.8329638509,0.951289219352
67.0,38.8329969058,0.951287923578
141.0,38.8329072861,0.951287673295
67.0,38.8329145994,0.951288219423
67.0,38.8328800989,0.951288115335
140.0,38.8329121616,0.951288273128
