bytes,psnr,ssim
9332.0,53.1061867778,0.999334715579
312.0,53.102071605,0.999334936641
256.0,53.0959309576,0.999334795841
242.0,53.0923245488,0.999334536676
235.0,53.0880837974,0.999333782613
246.0,53.0873640186,0.999334066994
242.0,53.0862504675,0.999334050986
242.0,53.0867103779,0.999334083153
243.0,53.0853032936,0.999333724431
235.0,53.0834524454,0.999333217702
236.0,53.0845960731,0.999333499398
236.0,53.0832787283,0.999332860536
235.0,53.0795432936,0.999332442607
236.0,53.0779716131,0.999332149056
236.0,53.0783043533,0.999332017711
236.0,53.079247805,0.999332676383
236.0,53.087860367,0.999324876585
236.0,53.0853032936,0.999324961524
237.0,53.0836536581,0.999325053701
236.0,53.080914448,0.999325234042
236.0,53.0830115694,0.999325460633
237.0,53.0816628327,0.999325501853
239.0,53.0804090042,0.999325024354
237.0,53.0796707224,0.999324807932
236.0,53.078984189,0.999324887476
236.0,53.0800914837,0.9993246711
237.0,53.0798992248,0.999324829997
236.0,53.0784833627,0.999324480161
236.0,53.0771755559,0.999324469979
237.0,53.0762841451,0.999324717603
236.0,53.0753940146,0.999324801836
236.0,53.0728870445,0.999324260768
237.0,53.1823426198,0.999326860679
236.0,53.0551263177,0.999327174856
236.0,53.0539019667,0.999327385668
243.0,53.0495283599,0.999326928696
243.0,53.0469654022,0.99932687542
243.0,53.0460965212,0.999326790816
243.0,53.0470646205,0.999326618055
243.0,53.0454218138,0.999326765904
249.0,53.0444769636,0.999326930035
236.0,53.0418962928,0.999326450661
236.0,53.0412853918,0.999326290413
251.0,53.0397318472,0.999326117343
249.0,53.0406146975,0.999326300202
236.0,53.0404307102,0.999326339771
236.0,53.0402423762,0.999325885792
251.0,53.0418331297,0.999325982602
236.0,53.1947423267,0.999328402999
236.0,53.0609830725,0.999328562427
243.0,53.0594487094,0.999328346437
243.0,53.0588429875,0.999328310773
243.0,53.0583597827,0.999327962505
236.0,53.0535699989,0.999327359351
236.0,53.0510330298,0.999326888665
243.0,53.0493189041,0.999326685069
243.0,53.0506390811,0.999326802143
236.0,53.0481681681,0.999325866403
236.0,53.0472816003,0.99932572233
243.0,53.0485302625,0.999326875263
242.0,53.0462796586,0.999326402874
236.0,53.044544524,0.999325977677
