bytes,psnr,ssim
269316.0,36.5894051624,0.935068588936
6460.0,36.5267085645,0.934127072537
1116.0,36.4985669511,0.933673343162
873.0,36.4970287879,0.933688053583
6564.0,36.4830728672,0.933486198079
905.0,36.4747760725,0.933416057243
782.0,36.4763260728,0.933351247741
6595.0,36.4669555409,0.933303882122
822.0,36.4659881353,0.933312235986
996.0,36.4746770849,0.93341015067
6909.0,36.4559982824,0.933107251007
1102.0,36.4592720704,0.933148098733
891.0,36.4720422324,0.933228528043
7343.0,36.4592055785,0.933134353359
930.0,36.4521076046,0.932869879772
758.0,36.4686581216,0.933068063223
9675.0,36.5396200405,0.93437014952
848.0,36.5260121084,0.934234826639
1223.0,36.5150296171,0.933933087591
10034.0,36.5005116839,0.933759532254
1001.0,36.5008952935,0.933755978975
132.0,36.4996018883,0.933644980476
2918.0,36.499904755,0.933622212316
74.0,36.5009476339,0.933620554349
69.0,36.5006407323,0.933610219443
1104.0,36.5006924283,0.933606529551
68.0,36.5016473283,0.933611048652
67.0,36.5016819386,0.933609237389
668.0,36.5017652383,0.933611508375
67.0,36.501903345,0.93361126651
67.0,36.5019237274,0.933612475001
1303.0,36.5024864309,0.933609727485
8429.0,36.5235416306,0.934185188042
1261.0,36.5173646075,0.934125848635
926.0,36.5152687805,0.933898344584
6780.0,36.5015463299,0.933742415228
857.0,36.4992294077,0.93356603375
828.0,36.5055350247,0.933692274199
6418.0,36.4896754982,0.933547651767
895.0,36.4882837609,0.933528658536
817.0,36.482802776,0.933255340435
7091.0,36.4794817315,0.933325063557
1046.0,36.4815636612,0.93333345817
775.0,36.493265546,0.933452880948
7998.0,36.4708099311,0.933041639612
1208.0,36.4821734428,0.933279399354
1054.0,36.5024348269,0.933434972817
8015.0,36.4896757994,0.933535900566
1111.0,36.5368358426,0.934391576761
932.0,36.5408757954,0.934392758706
10580.0,36.5160546634,0.934136569918
722.0,36.5070221648,0.933953403063
878.0,36.5057279917,0.933798164088
3534.0,36.505245817,0.933697353098
1413.0,36.5046444581,0.933665435256
70.0,36.5050503029,0.933650673134
66.0,36.5049090367,0.933641872305
826.0,36.5049346078,0.933638629799
66.0,36.505428345,0.933638376969
67.0,36.5054000889,0.933636667461
472.0,36.5054232831,0.933637676218
66.0,36.5057722302,0.933636447402
67.0,36.5057888151,0.933637175524
526.0,36.5056382693,0.933631350525
9061.0,36.5169507169,0.934397815399
1531.0,36.507728508,0.934152932772
1022.0,36.5066857379,0.933826180814
6210.0,36.4960373593,0.933790016868
1015.0,36.4934526568,0.933664644423
1051.0,36.4962619838,0.933708696669
5743.0,36.4812107935,0.933389192489
884.0,36.4801308424,0.933455384869
733.0,36.4872284574,0.933500105926
6195.0,36.4804198472,0.933421779063
1127.0,36.4678099498,0.933044238957
1004.0,36.4753381205,0.933222178302
7371.0,36.4792500503,0.933215041845
1174.0,36.4838432472,0.933413559535
1002.0,36.4788157097,0.933287707539
7339.0,36.4722801273,0.933357499121
