bytes,psnr,ssim
1590.0,58.3010926246,0.999970616544
40.0,58.3011154722,0.999970616544
35.0,58.3008812906,0.999970616544
35.0,58.3015495981,0.999970616544
40.0,58.3016124357,0.999970616544
35.0,58.3014981862,0.999970616544
35.0,58.301481049,0.999970616544
38.0,58.3012068635,0.999970616544
35.0,58.3012068635,0.999970616544
35.0,58.3014182133,0.999970616544
37.0,58.301481049,0.999970616544
35.0,58.301481049,0.999970616544
35.0,58.301481049,0.999970616544
37.0,58.3015038986,0.999970616544
35.0,58.3015038986,0.999970616544
35.0,58.3015038986,0.999970616544
42.0,58.4963773122,0.999970374454
35.0,58.5111356496,0.999970374454
35.0,58.5111716192,0.999970374454
37.0,58.5109797848,0.999970374454
35.0,58.5111656243,0.999970374454
35.0,58.511045727,0.999970374454
37.0,58.5109797848,0.999970374454
37.0,58.5111656243,0.999970374454
35.0,58.5112495544,0.999970374454
35.0,58.5112495544,0.999970374454
37.0,58.5111296547,0.999970374454
35.0,58.5110577165,0.999970374454
35.0,58.5110577165,0.999970374454
37.0,58.5110577165,0.999970374454
35.0,58.5114114241,0.999970450951
35.0,58.5114114241,0.999970450951
37.0,58.9051267015,0.999971019121
35.0,58.3036065741,0.999971050689
35.0,58.3036751568,0.999971050689
37.0,58.3036923026,0.999971050689
42.0,58.3036694415,0.999971050689
35.0,58.3036694415,0.999971050689
35.0,58.3036751568,0.999971050689
37.0,58.303600859,0.999971050689
35.0,58.304046665,0.999971050689
35.0,58.304046665,0.999971050689
37.0,58.303600859,0.999971050689
37.0,58.3035665681,0.999971050689
35.0,58.3035665681,0.999971050689
35.0,58.3034122625,0.999971050689
37.0,58.3035665681,0.999971050689
35.0,58.3035665681,0.999971050689
35.0,58.9041224955,0.999970455558
37.0,58.3009955239,0.999970445607
35.0,58.3011554556,0.999970445607
35.0,58.3014010765,0.999970445607
37.0,58.3013782274,0.999970445607
35.0,58.3013782274,0.999970445607
35.0,58.3013782274,0.999970445607
37.0,58.3013782274,0.999970445607
35.0,58.3014353502,0.999970445607
35.0,58.3014353502,0.999970445607
37.0,58.3011497437,0.999970445607
35.0,58.3012125755,0.999970445607
35.0,58.3012125755,0.999970445607
37.0,58.3012125755,0.999970445607
