bytes,psnr,ssim
2023.0,41.1458708065,0.989332530365
104.0,41.155702569,0.98935792141
67.0,41.1580428842,0.989366569533
67.0,41.1545993874,0.989362244736
86.0,41.1546797019,0.989359106071
80.0,41.1546816608,0.989360429429
67.0,41.1540581844,0.98936119558
67.0,41.1543302465,0.989362483762
79.0,41.1536316159,0.98936041057
75.0,41.1536461084,0.989359270549
67.0,41.1538090539,0.989359012744
67.0,41.1547623687,0.989358198568
73.0,41.1537792846,0.989358686135
67.0,41.1527633318,0.989358165349
67.0,41.1530243471,0.989355325765
79.0,41.1525228905,0.989357723189
67.0,41.1445731156,0.989342599133
67.0,41.1437257894,0.989344093214
76.0,41.1414449274,0.989342126
67.0,41.14021982,0.989340407913
67.0,41.140096235,0.98934034714
73.0,41.13948539,0.989341961702
78.0,41.1391402781,0.989340723055
67.0,41.1386006077,0.989339111927
67.0,41.1389575828,0.98933941825
72.0,41.1392566136,0.989339799126
67.0,41.1399937382,0.989341938792
67.0,41.1388734598,0.989339558642
73.0,41.1384641881,0.989338558914
67.0,41.1377655682,0.989337966216
67.0,41.1372711382,0.989336579179
77.0,41.1355584339,0.989334760857
67.0,41.1479848067,0.989341909302
67.0,41.1440802549,0.989340864527
72.0,41.1436398154,0.989339909875
67.0,41.1422711034,0.98933694225
67.0,41.1424394829,0.989338607905
73.0,41.1419415907,0.989338119342
67.0,41.1422343811,0.989339430236
67.0,41.1414230544,0.989338359038
71.0,41.1412943576,0.989337864244
67.0,41.1408167091,0.989337215989
67.0,41.1392710582,0.989335857723
71.0,41.1385885073,0.98933541707
67.0,41.1393261041,0.989335869925
67.0,41.1390280445,0.989335231038
71.0,41.1383492398,0.989334079283
67.0,41.1395211129,0.989335065971
67.0,41.1528853198,0.989347818677
76.0,41.1494529518,0.989348396643
67.0,41.1493649078,0.989350045645
67.0,41.1489875127,0.989349552073
71.0,41.1481356086,0.989347004946
71.0,41.14622271,0.989346125422
71.0,41.1454088787,0.989344213671
67.0,41.1448332482,0.989342415193
67.0,41.1442614069,0.989342054406
